64# Number of electrodes
# x z
0	0
5	0
10	0
15	0
20	0
25	0
30	0
35	0
40	0
45	0
50	0
55	0
60	0
65	0
70	0
75	0
80	0
85	0
90	0
95	0
100	0
105	0
110	0
115	0
120	0
125	0
130	0
135	0
140	0
145	0
150	0
155	0
160	0
165	0
170	0
175	0
180	0
185	0
190	0
195	0
200	0
205	0
210	0
215	0
220	0
225	0
230	0
235	0
240	0
245	0
250	0
255	0
260	0
265	0
270	0
275	0
280	0
285	0
290	0
295	0
300	0
305	0
310	0
315	0
1223# Number of data
#a	b	m	n	rhoa	err
   1	   4	   2	   3	23.21	0.0313538
   1	  31	  11	  21	62.27	0.0350448
   3	  30	  12	  21	56.66	0.0349903
   5	  29	  13	  21	51.94	0.0348386
   7	  28	  14	  21	47.04	0.0346749
   9	  27	  15	  21	42.33	0.0344526
   3	  33	  15	  21	66.15	0.0385484
  11	  26	  16	  21	37.36	0.0342042
   6	  31	  16	  21	57.59	0.0381828
   1	  36	  16	  21	77.80	0.0421136
  13	  25	  17	  21	32.98	0.0338105
   9	  29	  17	  21	46.36	0.038131
   5	  33	  17	  21	62.89	0.0419895
   1	  37	  17	  21	80.31	0.0456481
  15	  24	  18	  21	29.53	0.0331911
  12	  27	  18	  21	38.27	0.0373882
   9	  30	  18	  21	49.44	0.0414381
   6	  33	  18	  21	60.54	0.0455685
  17	  23	  19	  21	24.97	0.0325162
  15	  25	  19	  21	30.47	0.0361858
  13	  27	  19	  21	36.10	0.0404416
  11	  29	  19	  21	42.00	0.0449598
  19	  22	  20	  21	19.08	0.0316467
  18	  23	  20	  21	22.15	0.034255
  17	  24	  20	  21	25.06	0.0375209
  16	  25	  20	  21	27.74	0.0413241
  20	  23	  21	  22	19.08	0.0316464
  19	  24	  21	  22	21.78	0.0343267
  18	  25	  21	  22	24.08	0.0378286
  17	  26	  21	  22	26.67	0.0417801
   2	  32	  12	  22	61.55	0.0351043
   4	  31	  13	  22	57.42	0.0349243
   6	  30	  14	  22	51.71	0.0348605
   8	  29	  15	  22	46.06	0.0347742
   1	  36	  15	  22	76.33	0.0386431
  10	  28	  16	  22	41.19	0.034576
   4	  34	  16	  22	65.51	0.0386319
  12	  27	  17	  22	36.50	0.0343033
   7	  32	  17	  22	55.49	0.0384919
   2	  37	  17	  22	76.07	0.0423889
  14	  26	  18	  22	32.61	0.0338533
  10	  30	  18	  22	45.93	0.0382081
   6	  34	  18	  22	61.79	0.0422027
   2	  38	  18	  22	78.47	0.0460133
  16	  25	  19	  22	28.59	0.0332963
  13	  28	  19	  22	36.43	0.0377615
  10	  31	  19	  22	49.10	0.0415175
   7	  34	  19	  22	57.72	0.0463287
  18	  24	  20	  22	22.97	0.0327353
  16	  26	  20	  22	28.61	0.0365882
  14	  28	  20	  22	33.34	0.041308
  12	  30	  20	  22	38.75	0.0462156
  19	  25	  21	  23	22.93	0.0327398
  17	  27	  21	  23	28.17	0.0366913
  15	  29	  21	  23	33.21	0.0413532
  13	  31	  21	  23	42.98	0.044619
  21	  24	  22	  23	18.86	0.0316658
  20	  25	  22	  23	22.04	0.0342756
  19	  26	  22	  23	24.76	0.0376115
  18	  27	  22	  23	27.35	0.0414876
   1	  34	  12	  23	67.31	0.0351339
   3	  33	  13	  23	61.62	0.0350984
   5	  32	  14	  23	57.08	0.0349537
   7	  31	  15	  23	52.91	0.0347497
   9	  30	  16	  23	45.70	0.0348123
   2	  37	  16	  23	74.59	0.0388449
  11	  29	  17	  23	40.78	0.0346217
   5	  35	  17	  23	64.80	0.0387265
  13	  28	  18	  23	36.11	0.0343494
   8	  33	  18	  23	53.28	0.0388449
   3	  38	  18	  23	74.77	0.0426047
  15	  27	  19	  23	31.44	0.0339969
  11	  31	  19	  23	46.16	0.0381677
   7	  35	  19	  23	59.12	0.0427542
   3	  39	  19	  23	74.32	0.046908
  17	  26	  20	  23	26.58	0.0335457
  14	  29	  20	  23	34.74	0.0381393
  11	  32	  20	  23	45.26	0.0424939
   8	  35	  20	  23	54.12	0.0474149
  18	  27	  21	  24	26.96	0.0334964
  15	  30	  21	  24	35.99	0.0378565
  12	  33	  21	  24	44.10	0.042824
   9	  36	  21	  24	56.53	0.0466707
  20	  26	  22	  24	23.23	0.0327044
  18	  28	  22	  24	29.15	0.0364662
  16	  30	  22	  24	36.04	0.0404608
  14	  32	  22	  24	42.46	0.0447984
  22	  25	  23	  24	19.59	0.0316036
  21	  26	  23	  24	22.44	0.0342002
  20	  27	  23	  24	26.19	0.0371971
  19	  28	  23	  24	29.22	0.040752
   2	  35	  13	  24	68.02	0.0350802
   4	  34	  14	  24	62.77	0.0350048
   6	  33	  15	  24	57.25	0.0349383
   8	  32	  16	  24	50.87	0.0349408
  10	  31	  17	  24	46.94	0.0346848
   3	  38	  17	  24	74.71	0.0388311
  12	  30	  18	  24	40.83	0.0346164
   6	  36	  18	  24	64.72	0.038738
  14	  29	  19	  24	35.68	0.0344029
   9	  34	  19	  24	53.40	0.0388252
   4	  39	  19	  24	72.95	0.0429198
  16	  28	  20	  24	31.05	0.0340477
  12	  32	  20	  24	43.51	0.0386638
   8	  36	  20	  24	57.60	0.0430898
   4	  40	  20	  24	72.16	0.0474149
  17	  29	  21	  25	31.48	0.0339917
  13	  33	  21	  25	44.30	0.0385101
   9	  37	  21	  25	59.78	0.0426127
   5	  41	  21	  25	74.40	0.0468901
  19	  28	  22	  25	27.88	0.0333806
  16	  31	  22	  25	39.20	0.0372128
  13	  34	  22	  25	48.27	0.0417142
  10	  37	  22	  25	58.81	0.0460262
  21	  27	  23	  25	23.62	0.0326596
  19	  29	  23	  25	30.57	0.0361666
  17	  31	  23	  25	38.76	0.039727
  15	  33	  23	  25	42.57	0.04476
  23	  26	  24	  25	19.00	0.0316537
  22	  27	  24	  25	22.86	0.0341223
  21	  28	  24	  25	25.66	0.0373446
  20	  29	  24	  25	29.08	0.0408016
   1	  37	  13	  25	74.22	0.0350795
   3	  36	  14	  25	68.56	0.0350403
   5	  35	  15	  25	63.62	0.0349377
   7	  34	  16	  25	57.30	0.0349347
   9	  33	  17	  25	50.89	0.0349383
  11	  32	  18	  25	46.27	0.0347531
   4	  39	  18	  25	74.34	0.0388744
  13	  31	  19	  25	41.53	0.0345384
   7	  37	  19	  25	63.98	0.038839
  15	  30	  20	  25	35.38	0.0344392
  10	  35	  20	  25	52.98	0.0388943
   5	  40	  20	  25	71.62	0.0431591
  16	  31	  21	  26	36.79	0.0342692
  11	  36	  21	  26	53.70	0.0387746
   6	  41	  21	  26	71.98	0.0430941
  18	  30	  22	  26	31.67	0.0339674
  14	  34	  22	  26	45.63	0.0382627
  10	  38	  22	  26	60.90	0.0423812
   6	  42	  22	  26	74.78	0.0468045
  20	  29	  23	  26	27.95	0.0333714
  17	  32	  23	  26	37.79	0.0374827
  14	  35	  23	  26	48.15	0.0417453
  11	  38	  23	  26	60.42	0.045599
  22	  28	  24	  26	23.32	0.0326949
  20	  30	  24	  26	30.12	0.0362577
  18	  32	  24	  26	36.46	0.0403385
  16	  34	  24	  26	43.69	0.0443813
  24	  27	  25	  26	19.71	0.031594
  23	  28	  25	  26	21.80	0.0343225
  22	  29	  25	  26	24.78	0.0376072
  21	  30	  25	  26	28.15	0.041159
   2	  38	  14	  26	73.95	0.0350981
   4	  37	  15	  26	68.90	0.0350155
   6	  36	  16	  26	63.04	0.0349835
   8	  35	  17	  26	56.86	0.0349729
  10	  34	  18	  26	51.39	0.034891
  12	  33	  19	  26	44.70	0.03492
   5	  40	  19	  26	72.27	0.0391289
  14	  32	  20	  26	39.70	0.0347486
   8	  38	  20	  26	62.29	0.0390789
  15	  33	  21	  27	39.41	0.0347828
   9	  39	  21	  27	62.24	0.0390852
  17	  32	  22	  27	35.75	0.0343936
  12	  37	  22	  27	53.35	0.0388331
   7	  42	  22	  27	71.46	0.0431896
  19	  31	  23	  27	32.54	0.0338615
  15	  35	  23	  27	45.59	0.0382695
  11	  39	  23	  27	60.27	0.0425096
   7	  43	  23	  27	74.53	0.0468615
  21	  30	  24	  27	27.34	0.0334477
  18	  33	  24	  27	36.66	0.0377133
  15	  36	  24	  27	47.48	0.0419105
  12	  39	  24	  27	57.29	0.0464502
  23	  29	  25	  27	22.54	0.032788
  21	  31	  25	  27	29.64	0.0363598
  19	  33	  25	  27	34.91	0.0407986
  17	  35	  25	  27	41.54	0.0451247
  25	  28	  26	  27	18.87	0.0316648
  24	  29	  26	  27	21.38	0.0344082
  23	  30	  26	  27	24.25	0.0377736
  22	  31	  26	  27	28.63	0.0409744
   3	  39	  15	  27	73.49	0.0351299
   5	  38	  16	  27	68.35	0.0350556
   7	  37	  17	  27	62.42	0.0350326
   9	  36	  18	  27	56.71	0.0349853
  11	  35	  19	  27	50.55	0.0349723
  13	  34	  20	  27	44.64	0.0349267
   6	  41	  20	  27	70.18	0.0394007
  14	  35	  21	  28	45.34	0.0348504
   7	  42	  21	  28	70.23	0.039394
  16	  34	  22	  28	41.11	0.034585
  10	  40	  22	  28	62.09	0.039108
  18	  33	  23	  28	36.10	0.0343518
  13	  38	  23	  28	54.82	0.0385965
   8	  43	  23	  28	70.79	0.0433132
  20	  32	  24	  28	31.82	0.0339497
  16	  36	  24	  28	46.05	0.0381862
  12	  40	  24	  28	58.07	0.042983
   8	  44	  24	  28	72.82	0.0472563
  22	  31	  25	  28	27.52	0.0334242
  19	  34	  25	  28	37.35	0.0375695
  16	  37	  25	  28	47.18	0.0419859
  13	  40	  25	  28	56.35	0.0467268
  24	  30	  26	  28	23.09	0.0327213
  22	  32	  26	  28	28.72	0.0365633
  20	  34	  26	  28	35.83	0.0405217
  18	  36	  26	  28	41.75	0.0450503
  26	  29	  27	  28	20.76	0.0315131
  25	  30	  27	  28	22.85	0.0341249
  24	  31	  27	  28	26.90	0.037007
  23	  32	  27	  28	28.36	0.0410782
   4	  40	  16	  28	72.34	0.0352116
   6	  39	  17	  28	67.29	0.0351352
   8	  38	  18	  28	62.05	0.0350634
  10	  37	  19	  28	55.88	0.0350602
  12	  36	  20	  28	49.59	0.0350685
  13	  37	  21	  29	50.19	0.0350073
  15	  36	  22	  29	45.65	0.0348176
   8	  43	  22	  29	70.69	0.0393323
  17	  35	  23	  29	41.03	0.0345945
  11	  41	  23	  29	61.49	0.0391964
  19	  34	  24	  29	36.52	0.034301
  14	  39	  24	  29	53.38	0.0388272
   9	  44	  24	  29	72.10	0.0430726
  21	  33	  25	  29	30.86	0.0340726
  17	  37	  25	  29	44.56	0.0384594
  13	  41	  25	  29	57.13	0.0431983
   9	  45	  25	  29	71.69	0.04753
  23	  32	  26	  29	26.34	0.0335779
  20	  35	  26	  29	36.98	0.0376452
  17	  38	  26	  29	46.33	0.0422064
  14	  41	  26	  29	55.02	0.04713
  25	  31	  27	  29	23.75	0.0326458
  23	  33	  27	  29	28.54	0.0366047
  21	  35	  27	  29	35.47	0.0406285
  19	  37	  27	  29	42.03	0.0449485
  27	  30	  28	  29	20.01	0.0315698
  26	  31	  28	  29	22.53	0.0341839
  25	  32	  28	  29	24.18	0.0377949
  24	  33	  28	  29	26.61	0.041808
   5	  41	  17	  29	71.58	0.0352664
   7	  40	  18	  29	65.70	0.0352601
   9	  39	  19	  29	60.25	0.0352147
  11	  38	  20	  29	54.93	0.0351472
  12	  39	  21	  30	54.46	0.0351915
  14	  38	  22	  30	50.68	0.0349586
  16	  37	  23	  30	46.41	0.0347384
   9	  44	  23	  30	70.89	0.0393061
  18	  36	  24	  30	41.05	0.0345913
  12	  42	  24	  30	60.03	0.0394207
  20	  35	  25	  30	36.46	0.034308
  15	  40	  25	  30	51.83	0.0390914
  10	  45	  25	  30	69.56	0.0435489
  22	  34	  26	  30	31.46	0.0339949
  18	  38	  26	  30	44.63	0.0384468
  14	  42	  26	  30	56.50	0.0433444
  10	  46	  26	  30	69.82	0.0479977
  24	  33	  27	  30	27.23	0.0334618
  21	  36	  27	  30	37.67	0.0375067
  18	  39	  27	  30	46.54	0.0421505
  15	  42	  27	  30	55.16	0.0470859
  26	  32	  28	  30	22.78	0.032758
  24	  34	  28	  30	29.62	0.0363628
  22	  36	  28	  30	35.77	0.0405384
  20	  38	  28	  30	42.21	0.044887
  28	  31	  29	  30	21.67	0.0314497
  27	  32	  29	  30	22.17	0.0342505
  26	  33	  29	  30	25.15	0.0374954
  25	  34	  29	  30	29.20	0.0407578
   6	  42	  18	  30	70.71	0.0353313
   8	  41	  19	  30	64.21	0.0353818
  10	  40	  20	  30	58.51	0.0353695
   2	   5	   3	   4	23.54	0.0313346
   1	   6	   3	   4	25.14	0.0337484
  11	  41	  21	  31	58.32	0.0353869
  13	  40	  22	  31	53.79	0.0352567
  15	  39	  23	  31	49.71	0.0350563
  17	  38	  24	  31	45.40	0.0348434
  10	  45	  24	  31	70.08	0.039414
  19	  37	  25	  31	40.55	0.0346482
  13	  43	  25	  31	59.36	0.0395267
  21	  36	  26	  31	35.94	0.0343709
  16	  41	  26	  31	51.12	0.0392177
  11	  46	  26	  31	68.83	0.0436934
  23	  35	  27	  31	31.45	0.0339953
  19	  39	  27	  31	44.24	0.038521
  15	  43	  27	  31	55.90	0.0434892
  11	  47	  27	  31	69.57	0.0480631
  25	  34	  28	  31	27.23	0.0334618
  22	  37	  28	  31	36.61	0.0377238
  19	  40	  28	  31	44.68	0.0426568
  16	  43	  28	  31	53.74	0.0475377
  27	  33	  29	  31	22.77	0.032759
  25	  35	  29	  31	29.55	0.0363781
  23	  37	  29	  31	35.39	0.0406512
  21	  39	  29	  31	41.24	0.0452347
  29	  32	  30	  31	18.80	0.0316706
  28	  33	  30	  31	21.70	0.0343428
  27	  34	  30	  31	24.91	0.0375681
  26	  35	  30	  31	27.58	0.0413922
   7	  43	  19	  31	69.29	0.0354407
   9	  42	  20	  31	63.27	0.0354623
  10	  43	  21	  32	63.73	0.0354229
  12	  42	  22	  32	58.15	0.0354023
  14	  41	  23	  32	53.85	0.0352504
  16	  40	  24	  32	49.46	0.0350815
  18	  39	  25	  32	44.80	0.0349085
  11	  46	  25	  32	68.95	0.0395679
  20	  38	  26	  32	41.18	0.0345776
  14	  44	  26	  32	60.24	0.0393874
  22	  37	  27	  32	36.60	0.0342917
  17	  42	  27	  32	51.04	0.0392327
  12	  47	  27	  32	67.83	0.0438942
  24	  36	  28	  32	32.23	0.0338986
  20	  40	  28	  32	43.95	0.0385779
  16	  44	  28	  32	57.51	0.0431114
  12	  48	  28	  32	69.10	0.0481869
  26	  35	  29	  32	28.35	0.033325
  23	  38	  29	  32	38.00	0.0374407
  20	  41	  29	  32	45.89	0.0423236
  17	  44	  29	  32	55.71	0.0469188
  28	  34	  30	  32	24.50	0.0325648
  26	  36	  30	  32	30.60	0.0361609
  24	  38	  30	  32	36.79	0.040248
